deployment,total_detections,unique_species,mean_confidence
W2,686191,317,0.8345655538675555
F1,589252,278,0.8104506781160737
W1,511490,308,0.846697456912003
F2,453205,243,0.8166317950628269
G2,394618,301,0.8319699516140945
G1,355742,301,0.851380969333777
