partner,habitat,species,mean_confidence,median_confidence,min_confidence,max_confidence,sd_confidence,n_recordings
belgium,F,Accipiter gentilis_Northern Goshawk,0.8202703446149823,0.8255489766597746,0.725069403648376,0.904914021492004,0.08896864120693783,4
belgium,F,Accipiter nisus_Eurasian Sparrowhawk,0.725047707557678,0.725047707557678,0.725047707557678,0.725047707557678,NA,1
belgium,F,Aegithalos caudatus_Long-tailed Tit,0.8800559772385491,0.8687255084514616,0.798536479473114,0.996707320213318,0.06208970591463341,36
belgium,F,Aegolius funereus_Boreal Owl,0.8521543443202975,0.8521543443202975,0.796508848667145,0.90779983997345,0.0786946146376614,2
belgium,F,Aix galericulata_Mandarin Duck,0.7819762999011625,0.77076381444931,0.707516312599182,0.918041288852692,0.06339371628128129,31
belgium,F,Alcedo atthis_Common Kingfisher,0.813017547130585,0.813017547130585,0.813017547130585,0.813017547130585,NA,1
belgium,F,Anas acuta_Northern Pintail,0.824818551540375,0.824818551540375,0.797585427761078,0.852051675319672,0.03851345299446704,2
belgium,F,Anas crecca_Green-winged Teal,0.8019440112442807,0.790156483650208,0.700693190097809,0.959774434566498,0.07407948491359423,29
belgium,F,Anas platyrhynchos_Mallard,0.716108322143555,0.716108322143555,0.716108322143555,0.716108322143555,NA,1
belgium,F,Anthus trivialis_Tree Pipit,0.7799934936421258,0.7577246427536011,0.70501571893692,0.934545457363129,0.06440970936833654,28
belgium,F,Apus apus_Common Swift,0.905832499265671,0.905832499265671,0.895301699638367,0.916363298892975,0.014892799655566804,2
belgium,F,Ardea cinerea_Gray Heron,0.8499053699128768,0.856416255235672,0.700831353664398,0.996186196804047,0.10387985364673771,34
belgium,F,Asio otus_Long-eared Owl,0.8785915315151214,0.8552594780921936,0.755555093288422,0.997803151607513,0.08588054901366164,10
belgium,F,Athene noctua_Little Owl,0.8171648638589042,0.792876958847046,0.712039172649384,0.96233206987381,0.0931005838065245,7
belgium,F,Botaurus stellaris_Great Bittern,0.8100463931377117,0.831145346164703,0.703219652175903,0.92860209941864,0.07595416422083062,13
belgium,F,Branta leucopsis_Barnacle Goose,0.866469383239746,0.866469383239746,0.866469383239746,0.866469383239746,NA,1
belgium,F,Bubo bubo_Eurasian Eagle-Owl,0.7623951338058294,0.744235932826996,0.701019942760468,0.909168422222137,0.05405718554771937,43
belgium,F,Burhinus oedicnemus_Eurasian Thick-knee,0.8035084307193755,0.8035084307193755,0.707439363002777,0.899577498435974,0.1358621784893529,2
belgium,F,Buteo buteo_Common Buzzard,0.8415499987701575,0.834900438785553,0.704938590526581,0.984872817993164,0.08314882431674143,48
belgium,F,Carduelis carduelis_European Goldfinch,0.814027845859528,0.814027845859528,0.814027845859528,0.814027845859528,NA,1
belgium,F,Certhia brachydactyla_Short-toed Treecreeper,0.8566419960202892,0.866244673728943,0.686033606529236,0.9992715716362,0.09088569600951513,6199
belgium,F,Certhia familiaris_Eurasian Treecreeper,0.6095928331922154,0.5843205451965335,0.500482201576233,0.932502090930939,0.08976959928329324,394
belgium,F,Chloris chloris_European Greenfinch,0.74820476770401,0.74820476770401,0.74820476770401,0.74820476770401,NA,1
belgium,F,Chroicocephalus ridibundus_Black-headed Gull,0.8178020886012487,0.823756456375122,0.743056237697601,0.910288512706757,0.05547907488929197,7
belgium,F,Coccothraustes coccothraustes_Hawfinch,0.825942174913326,0.816862106323242,0.700358390808105,0.995524525642395,0.08318736788108232,261
belgium,F,Columba livia_Rock Pigeon,0.7444371432065965,0.743984490633011,0.719907224178314,0.76987236738205,0.027784088742313674,4
