Species,Samplesize,Countries,Original_precision,Threshold_050,Threshold_090,Threshold_095,recall_90,recall_95,Performance,NOTES,F_090,F_095
Locustella naevia,54,2,0.426,NA,NA,NA,0,0,3,Very often mistaken with Orthoptera,0,0
Grus grus,81,3,0.309,NA,NA,NA,0,0,3,Red deer mistaken for this,0,0
Cygnus cygnus,54,2,0.296,NA,NA,NA,0,0,3,,0,0
Nycticorax nycticorax,108,4,0.231,NA,NA,NA,0,0,3,Mistaken with frog calls,0,0
Phoenicurus ochruros,54,2,0.204,NA,NA,NA,0,0,3,Mainly calls,0,0
Turdus iliacus,135,5,0.2,NA,NA,NA,0,0,3,Similar to Turdus merula,0,0
Pyrrhula pyrrhula,54,2,0.185,NA,NA,NA,0,0,3,Mistaken with Anas crecca,0,0
Calidris alpina,54,2,0.167,NA,NA,NA,0,0,3,,0,0
Coccothraustes coccothraustes,108,4,0.157,NA,NA,NA,0,0,3,Mostly Erithacus rubecula,0,0
Ixobrychus minutus,108,4,0.148,NA,NA,NA,0,0,3,,0,0
Scolopax rusticola,108,4,0.139,NA,NA,NA,0,0,3,Sometimes confusion with small mammals  as rodents ,0,0
Athene noctua,135,5,0.111,NA,NA,NA,0,0,3,"Cats, dogs and foxes mistaken for this",0,0
Coturnix coturnix,54,2,0.111,NA,NA,NA,0,0,3,,0,0
Tyto alba,54,2,0.093,NA,NA,NA,0,0,3,,0,0
Bubo bubo,54,2,0.074,NA,NA,NA,0,0,3,Red deer mistaken for this,0,0
Caprimulgus europaeus,54,2,0.056,NA,NA,NA,0,0,3,Orthoptera mistaken for this,0,0
Asio otus,54,2,0.056,NA,NA,NA,0,0,3,Red deer or cattle mistaken for this,0,0
Botaurus stellaris,81,3,0.049,NA,NA,NA,0,0,3,,0,0
Phoenicurus phoenicurus,81,3,0,NA,NA,NA,0,0,3,Mostly confused with Phylloscopus collybita calls,0,0
