Partner acronym,Year,Deployment code,Deployment code,Device ID,Device deployment date (double-click cell to bring up calendar),Device retrieval date (double-click cell to bring up calendar),"Device latitude (in degrees, WGS84, EPSG: 4326, optional)","Device longitude (in degrees, WGS84, EPSG: 4326, optional)","Secondary device ID (optional, e.g. AMI trap internal ID)",Downtime (?),
ExEA,2025,W2,Song Meter Mini 2,2MA03933,08/06/2025,,42.93635,22.9498,,,
MESD,2025,F1,AMI,RW-AMI-0068,03/06/2025,,45.37327,16.821325,,,
MESD,2025,F1,Song Meter Mini Bat 2,2MUO4652,14/04/2025,,45.37327,16.821325,,,
MESD,2025,F1,TOMST TMS-4 Standard,TMS 95337883,03/06/2025,,45.37327,16.821325,,,
MESD,2025,F1,Song Meter Mini 2,2MA04841,14/04/2025,,45.37327,16.821325,OP2,,
NCA CZ,2025,F1,Song Meter Mini 2,2MA02463,16/04/2025,,50.2718919,14.8958531,,,
NCA CZ,2025,F1,Song Meter Mini Bat 2,2MU01863,16/04/2025,,50.2718919,14.8958531,,,
NCA CZ,2025,F1,TOMST TMS-4 Standard,TMS 94217438,28/04/2025,,50.2718919,14.8958531,,,
NCA CZ,2025,F1,AMI,RW-AMI-0065,16/04/2025,11/08/2025,50.2718919,14.8958531,,,
MESD,2025,F2,Song Meter Mini Bat 2,2MUO4327,14/04/2025,,45.3731,16.820142,,,
NCA CZ,2025,F2,Song Meter Mini 2,2MA02467,16/04/2025,11/08/2025,50.2714439,14.8928669,,,
NCA CZ,2025,F2,Song Meter Mini Bat 2,2MU01602,16/04/2025,11/08/2025,50.2714439,14.8928669,,,
MESD,2025,G1,AMI,RW-AMI-0067,16/05/2025,,45.509155,16.59534,AMI-6,,
MESD,2025,G1,TOMST TMS-4 Standard,TMS 95337881,16/05/2025,,45.509155,16.59534,,,
MESD,2025,G1,Song Meter Mini Bat 2,2MUO4805,14/04/2025,,45.509155,16.59534,,,
MESD,2025,G1,Song Meter Mini 2,2MA04352,14/04/2025,,45.509155,16.59534,OS1,"24/06/2025 moved to G2 (OS2), because OS2 recorder stopped working and there was too much interference at site G1; all recordings made by this recorder from that point onwards should be analysed under location G2!",
NCA CZ,2025,G1,Song Meter Mini 2,2MA02422,28/04/2025,,50.2391933,14.8866697,,,
NCA CZ,2025,G1,Song Meter Mini Bat 2,2MU01690,28/04/2025,,50.2391933,14.8866697,,,
MoE DK,2024,F1,AMI,RW-AMI-0027,14/06/2024,04/11/2024,,,,,
MoE DK,2024,G1,AMI,RW-AMI-0031,05/07/2024,05/11/2024,,,,,
MoE DK,2024,W1,AMI,RW-AMI-0023,14/06/2024,04/11/2024,,,,,
MoE DK,2024,F1,Song Meter Mini Bat 2,2MU02080,14/06/2024,04/11/2024,,,,,
MoE DK,2024,F1,Song Meter Mini 2,2MA03089,14/06/2024,04/11/2024,,,,,
MoE DK,2024,F2,Song Meter Mini Bat 2,2MU02119,14/06/2024,04/11/2024,,,,,
MoE DK,2024,F2,Song Meter Mini 2,2MA03090,14/06/2024,04/11/2024,,,,,
MoE DK,2024,W1,Song Meter Mini Bat 2,2MU02100,14/06/2024,04/11/2024,,,,,
MoE DK,2024,W1,Song Meter Mini 2,2MA03939,14/06/2024,04/11/2024,,,,,
MoE DK,2024,W2,Song Meter Mini Bat 2,2MU02089,14/06/2024,04/11/2024,,,,,
MoE DK,2024,W2,Song Meter Mini 2,2MA01018,14/06/2024,04/11/2024,,,,,
MoE DK,2024,G1,Song Meter Mini 2,2MA01040,05/07/2024,05/11/2024,,,,,
MoE DK,2024,G1,Song Meter Mini Bat 2,2MU02095,05/07/2024,05/11/2024,,,,,
MoE DK,2024,G2,Song Meter Mini Bat 2,2MU02086,05/07/2024,05/11/2024,,,,,
MoE DK,2024,G2,Song Meter Mini 2,2MA02896,05/07/2024,05/11/2024,,,,,
MoE DK,2024,G1,TOMST TMS-4 Standard,94193529,05/07/2024,05/11/2024,,,,,
MoE DK,2024,W1,TOMST TMS-4 Standard,94201901,14/06/2024,04/11/2024,,,,,
MoE DK,2024,F1,TOMST TMS-4 Standard,94201919,14/06/2024,04/11/2024,,,,,
MoE FI,2024,F1,AMI,53E27C4A,30/05/2024,11/10/2024,,,,,
MoE FI,2024,O1,AMI,,05/06/2024,,,,,,
MoE FI,2024,G1,AMI,A8Z147B3,05/07/2024,25/10/2024,,,,,
MoE FI,2025,F1,AMI,53E27C4A,10/05/2025,,,,,,
MoE FI,2025,G1,AMI,A8Z147B3,09/05/2025,,,,,,
MoE FI,2025,W1,AMI,,09/05/2025,,,,,"AMI was not working during May, because wrong plugin without a circuit breaker was accindentally plugged. Noticed and corrected 10/06/2025.",
MoE FI,2024,F1,Song Meter Mini 2,2MA00979,30/05/2024,11/10/2024,,,,,
MoE FI,2024,F1,Song Meter Mini Bat 2,2MU01389,30/05/2024,11/10/2024,,,,,
MoE FI,2024,F2,Song Meter Mini 2,2MA01104,30/05/2024,11/10/2024,,,,,
MoE FI,2024,F2,Song Meter Mini Bat 2,2MU01293,30/05/2024,11/10/2024,,,,,
MoE FI,2024,G1,Song Meter Mini 2,2MA00973,19/06/2024,25/10/2024,,,,,
MoE FI,2024,G1,Song Meter Mini Bat 2,2MU01386,19/06/2024,25/10/2024,,,,,
MoE FI,2024,G2,Song Meter Mini 2,2MA01103,19/06/2024,25/10/2024,,,,,
MoE FI,2024,G2,Song Meter Mini Bat 2,2MU01290,19/06/2024,25/10/2024,,,,,
MoE FI,2024,O1,Song Meter Mini 2,2MA00948,05/06/2024,28/09/2024,,,,,
MoE FI,2024,O1,Song Meter Mini Bat 2,2MU01473,05/06/2024,28/09/2024,,,,,
MoE FI,2024,O2,Song Meter Mini 2,2MA00985,05/06/2024,28/09/2024,,,,,
MoE FI,2024,O2,Song Meter Mini Bat 2,2MU01575,05/06/2024,28/09/2024,,,,,
MoE FI,2025,F1,Song Meter Mini 2,2MA00979,09/05/2025,,,,,,
MoE FI,2025,F1,Song Meter Mini Bat 2,2MU01389,09/05/2025,,,,,,
MoE FI,2025,F2,Song Meter Mini 2,2MA01104,09/05/2025,,,,,,
MoE FI,2025,F2,Song Meter Mini Bat 2,2MU01293,09/05/2025,,,,,,
MoE FI,2025,G1,Song Meter Mini 2,2MA00973,10/05/2025,,,,,,
MoE FI,2025,G1,Song Meter Mini Bat 2,2MU01386,10/05/2025,,,,,,
MoE FI,2025,G2,Song Meter Mini 2,2MA01103,10/05/2025,,,,,,
MoE FI,2025,G2,Song Meter Mini Bat 2,2MU01290,10/05/2025,,,,,,
MoE FI,2025,W1,Song Meter Mini 2,2MA00948,09/05/2025,,,,,,
MoE FI,2025,W1,Song Meter Mini Bat 2,2MU01473,09/05/2025,,,,,,
MoE FI,2025,W2,Song Meter Mini 2,2MA00985,09/05/2025,,,,,,
MoE FI,2025,W2,Song Meter Mini Bat 2,2MU01575,09/05/2025,,,,,,
NCA CZ,2025,G1,TOMST TMS-4 Standard,TMS 94217449,28/04/2025,,50.2391933,14.8866697,,,
NCA CZ,2025,G1,AMI,RW-AMI-0066,28/04/2025,11/08/2025,50.2391933,14.8866697,,,
MESD,2025,G2,Song Meter Mini Bat 2,2MUO4743,14/04/2025,,45.501483,16.596318,,,
MESD,2025,G2,Song Meter Mini 2,2MA04424,14/04/2025,28/04/2025,45.501483,16.596318,OS6,from 29/04/2025 to 23/06/2025,
NCA CZ,2025,G2,Song Meter Mini Bat 2,2MU02218,28/04/2025,11/08/2025,50.237903,14.889114,,,
NCA CZ,2025,G2,Song Meter Mini 2,2MA02461,28/04/2025,11/08/2025,50.237903,14.889114,,,
MESD,2025,W1,AMI,RW-AMI-0056,16/05/2025,,45.277343,16.839176,AMI-5,,
MESD,2025,W1,Song Meter Mini Bat 2,2MUO4352,14/04/2025,,45.279458,16.83889,,Regarding bat recorder coordinates for W1 & W2: these are the only ones that are opposite to what was the norm (the W2 recorder was with the W1 AMI and vice versa). That's why the coordinates are like that,
MESD,2025,W1,TOMST TMS-4 Standard,TMS 95337882,16/05/2025,,45.277343,16.839176,,,
MESD,2025,W1,Song Meter Mini 2,2MA04347,14/04/2025,,45.277343,16.839176,KDJ4,,
NCA CZ,2025,W1,Song Meter Mini 2,2MA02440,05/05/2025,,50.2274506,14.8526836,,,
NCA CZ,2025,W1,Song Meter Mini Bat 2,2MU01611,05/05/2025,,50.2274506,14.8526836,,,
NCA CZ,2025,W1,TOMST TMS-4 Standard,,,,,,,device destroyed,
NCA CZ,2025,W1,AMI,,07/05/2025,11/08/2025,50.2274506,14.8526836,,,
MESD,2025,W2,Song Meter Mini Bat 2,2MUO4810,14/04/2025,,45.279458,16.83889,,Regarding bat recorder coordinates for W1 & W2: these are the only ones that are opposite to what was the norm (the W2 recorder was with the W1 AMI and vice versa). That's why the coordinates are like that,
MESD,2025,W2,Song Meter Mini 2,2MA04345,14/04/2025,,45.279458,16.83889,KDJ5,,
NCA CZ,2025,W2,Song Meter Mini 2,,,,,,,not deployed,
NCA CZ,2025,W2,Song Meter Mini Bat 2,,05/05/2025,11/08/2025,,,,not deployed,
NPWS,2024,G1,AMI,RW-AMI-0025,24/09/2024,31/10/2024,,,,,
NPWS,2024,F1,AMI,RW-AMI-0022,21/08/2024,06/11/2024,,,,,
NPWS,2024,G1,Song Meter Mini 2,2MA02423,24/09/2024,31/10/2024,,,,,
NPWS,2024,G1,Song Meter Mini Bat 2,2MU01474,24/09/2024,31/10/2024,,,,,
NPWS,2024,G1,TOMST TMS-4 Standard,95322073,24/09/2024,31/10/2024,,,,,
NPWS,2024,G2,Song Meter Mini 2,2MA02442,24/09/2024,31/10/2024,,,,,
NPWS,2024,F1,Song Meter Mini 2,2MA02424,21/08/2024,06/11/2024,,,,,
NPWS,2024,F1,Song Meter Mini Bat 2,2MU01394,21/08/2024,06/11/2024,,,,,
NPWS,2024,F1,TOMST TMS-4 Standard,95322071,21/08/2024,06/11/2024,,,,,
NPWS,2024,F2,Song Meter Mini 2,2MA02451,21/08/2024,06/11/2024,,,,,
NWO,2024,W1,AMI,RW-AMI-0008,30/05/2024,31/10/2024,52.20584,5.038927,,,
NWO,2024,W1,Song Meter Mini 2,2MA00925,30/05/2024,31/10/2024,52.20571,5.039143,,,
NWO,2024,W1,Song Meter Mini Bat 2,2MU01488,30/05/2024,31/10/2024,52.20581,5.039188,,,
NWO,2024,W1,TOMST TMS-4 Standard,95325163,30/05/2024,31/10/2024,52.20586,5.039058,,,
NWO,2024,W2,Song Meter Mini 2,2MA00922,30/05/2024,31/10/2024,52.20394,5.039617,,,
NWO,2024,W2,Song Meter Mini Bat 2,2MU01340,30/05/2024,31/10/2024,52.20389,5.039922,,,
NWO,2024,W2,TOMST TMS-4 Standard,95325161,30/05/2024,31/10/2024,52.2039,5.040001,,,
NWO,2024,F1,AMI,RW-AMI-0009,30/05/2024,31/10/2024,52.03805,5.843537,,,
NWO,2024,F1,Song Meter Mini 2,2MA00967,30/05/2024,31/10/2024,52.03815,5.843525,,,
NWO,2024,F1,Song Meter Mini Bat 2,2MU01294,30/05/2024,31/10/2024,52.03815,5.843525,,,
NWO,2024,F1,TOMST TMS-4 Standard,95323683,30/05/2024,31/10/2024,52.03804,5.843532,,,
NWO,2024,F2,Song Meter Mini 2,2MA00929,30/05/2024,31/10/2024,52.037,5.839628,,,
NWO,2024,F2,Song Meter Mini Bat 2,2MU01385,30/05/2024,31/10/2024,52.0369,5.839714,,,
NWO,2024,F2,TOMST TMS-4 Standard,95325162,30/05/2024,31/10/2024,52.03689,5.839735,,,
NWO,2024,G1,AMI,RW-AMI-0006,24/06/2024,29/10/2024,52.35558,4.56144,,,
NWO,2024,G1,Song Meter Mini 2,2MA00923,24/06/2024,29/10/2024,52.35556,4.56139,,,
NWO,2024,G1,Song Meter Mini Bat 2,2MU01654,24/06/2024,29/10/2024,52.35551,4.561408,,,
NWO,2024,G1,TOMST TMS-4 Standard,95325164,24/06/2024,29/10/2024,52.35559,4.561423,,,
NWO,2024,G2,Song Meter Mini 2,2MA00978,24/06/2024,29/10/2024,52.31083,5.046272,,,
NWO,2024,G2,Song Meter Mini Bat 2,2MU01564,24/06/2024,29/10/2024,52.35775,4.560092,,,
NWO,2024,G2,TOMST TMS-4 Standard,95323681,24/06/2024,29/10/2024,52.357749,4.560092,,,
SAS,2024,F1,Song Meter Mini Bat 2,2MU00371,28/08/2024,24/11/2024,47.90504,17.46869,,,
SAS,2024,F2,Song Meter Mini Bat 2,2MU00264,28/08/2024,24/11/2024,47.90558,17.47157,,,
SAS,2024,W1,Song Meter Mini Bat 2,2MU00238,24/09/2024,05/11/2024,,,,,
SAS,2024,W2,Song Meter Mini Bat 2,2MU00235,24/09/2024,19/11/2024,47.84345,17.70676,,,
SAS,2024,G1,Song Meter Mini Bat 2,2MU00261,08/10/2024,05/11/2024,,,,,
SAS,2024,G2,Song Meter Mini Bat 2,2MU00267,08/10/2024,05/11/2024,,,,,
SAS,2024,F1,TOMST TMS-4 Standard,TMS95329733,24/09/2024,24/11/2024,47.90508,17.46872,,,
SAS,2024,F2,TOMST TMS-4 Standard,TMS95329736,24/09/2024,24/11/2024,47.90568,17.47146,,,
SAS,2024,W1,TOMST TMS-4 Standard,TMS95329734,24/09/2024,28/11/2024,47.84350472,17.70689241,,,
SAS,2024,W2,TOMST TMS-4 Standard,TMS95329735,24/09/2024,28/11/2024,47.84362242,17.71853774,,,
SAS,2024,G1,TOMST TMS-4 Standard,TMS95329731,27/10/2024,28/11/2024,47.75214,17.93186,,,
SAS,2024,G2,TOMST TMS-4 Standard,TMS95329732,27/10/2024,28/11/2024,47.75169,17.92509,,,
SAS,2024,F1,Song Meter Mini 2,2MA01105,28/08/2024,24/11/2024,47.90508,17.46872,,,
SAS,2024,F2,Song Meter Mini 2,2MA02470,28/08/2024,24/11/2024,47.90568,17.47146,,,
SAS,2024,W1,Song Meter Mini 2,2MA02475,24/09/2024,05/11/2024,,,,,
SAS,2024,W2,Song Meter Mini 2,2MA02471,24/09/2024,19/11/2024,47.84351,17.70675,,,
SAS,2024,G1,Song Meter Mini 2,2MA02469,08/10/2024,05/11/2024,,,,,
SAS,2024,G2,Song Meter Mini 2,2MA02479,08/10/2024,05/11/2024,,,,,
SAS,2025,F1,Song Meter Mini Bat 2,2MU00371,24/04/2025,,47.90504,17.46869,,,
SAS,2025,F2,Song Meter Mini Bat 2,2MU00264,24/04/2025,,47.90558,17.47157,,,
SAS,2025,W1,Song Meter Mini Bat 2,2MU00238,24/04/2025,,,,,,
SAS,2025,W2,Song Meter Mini Bat 2,2MU00235,24/04/2025,,47.84345,17.70676,,,
SAS,2025,G1,Song Meter Mini Bat 2,2MU00261,24/04/2025,,,,,,
SAS,2025,G2,Song Meter Mini Bat 2,2MU00267,24/04/2025,,,,,,
SAS,2025,F1,TOMST TMS-4 Standard,TMS95329733,24/04/2025,,47.90508,17.46872,,,
SAS,2025,F2,TOMST TMS-4 Standard,TMS95329736,24/04/2025,,47.90568,17.47146,,,
SAS,2025,W1,TOMST TMS-4 Standard,TMS95329734,24/04/2025,,47.84350472,17.70689241,,,
SAS,2025,W2,TOMST TMS-4 Standard,TMS95329735,24/04/2025,,47.84362242,17.71853774,,,
SAS,2025,G1,TOMST TMS-4 Standard,TMS95329731,24/04/2025,,47.75214,17.93186,,,
SAS,2025,G2,TOMST TMS-4 Standard,TMS95329732,24/04/2025,,47.75169,17.92509,,,
SAS,2025,F1,Song Meter Mini 2,2MA01105,24/04/2025,,47.90508,17.46872,,,
SAS,2025,F2,Song Meter Mini 2,2MA02470,24/04/2025,,47.90568,17.47146,,,
SAS,2025,W1,Song Meter Mini 2,2MA02475,24/04/2025,,,,,,
SAS,2025,W2,Song Meter Mini 2,2MA02471,24/04/2025,,47.84351,17.70675,,,
SAS,2025,G1,Song Meter Mini 2,2MA02469,24/04/2025,,,,,,
SAS,2025,G2,Song Meter Mini 2,2MA02479,24/04/2025,,,,,,
SAS,2025,F2,AMI,RW-AMI-0035,24/04/2025,,47.90571,17.47138,,,
SAS,2025,G1,AMI,RW-AMI-0036,24/04/2025,,47.75201,17.9316,,,
SAS,2025,W2,AMI,RW-AMI-0037,24/04/2025,,47.84352,17.7067,,,
SAS,2025,G2,Song Meter Mini 2,,,,,,,,
SEPA,2024,F1,AMI,RW-AMI-0011,16/07/2024,01/11/2024,55.694055,13.459110,,,
SEPA,2024,G1,AMI,RW-AMI-0010,26/07/2024,04/11/2024,55.547620,14.033792,,,
SEPA,2024,W1,AMI,RW-AMI-0007,16/07/2024,01/11/2024,55.693899,13.522747,,,
SEPA,2024,F1,Song Meter Mini 2,2MA03807,16/07/2024,01/11/2024,55.694055,13.459110,,,
SEPA,2024,F1,Song Meter Mini Bat 2,2MU02092,16/07/2024,01/11/2024,55.694055,13.459110,,,
SEPA,2024,F2,Song Meter Mini 2,2MA03219,16/07/2024,01/11/2024,55.694683,13.456619,,,
SEPA,2024,F2,Song Meter Mini Bat 2,2MU02099,16/07/2024,01/11/2024,55.694683,13.456619,,,
SEPA,2024,F1,TOMST TMS-4 Standard,,,01/11/2024,55.694055,13.459110,,,
SEPA,2024,G1,Song Meter Mini 2,2MA03095,26/07/2024,04/11/2024,55.547620,14.033792,,,
SEPA,2024,G1,Song Meter Mini Bat 2,2MU02091,26/07/2024,04/11/2024,55.547620,14.033792,,,
SEPA,2024,G2,Song Meter Mini 2,2MA03064,26/07/2024,04/11/2024,55.546379,14.036659,,,
SEPA,2024,G2,Song Meter Mini Bat 2,2MU02088,26/07/2024,04/11/2024,55.546379,14.036659,,,
SEPA,2024,G1,TOMST TMS-4 Standard,,,04/11/2024,55.547620,14.033792,,,
SEPA,2024,W1,Song Meter Mini 2,2MA03176,16/07/2024,01/11/2024,55.693899,13.522747,,,
SEPA,2024,W1,Song Meter Mini Bat 2,2MU02104,16/07/2024,01/11/2024,55.693899,13.522747,,,
SEPA,2024,W2,Song Meter Mini 2,2MA03094,16/07/2024,01/11/2024,55.692277,55.692277,13.520128,,
SEPA,2024,W2,Song Meter Mini Bat 2,2MU02076,16/07/2024,01/11/2024,55.692277,55.692277,,,
SEPA,2024,W1,TOMST TMS-4 Standard,,,01/11/2024,55.693899,13.522747,,,
SEPA,2025,F1,Song Meter Mini 2,2MA03807,21/04/2025,,,,,,
SEPA,2025,F1,Song Meter Mini Bat 2,2MU02092,21/04/2025,,,,,,
SEPA,2025,F2,Song Meter Mini 2,2MA03219,21/04/2025,,,,,,
SEPA,2025,F2,Song Meter Mini Bat 2,2MU02099,21/04/2025,,,,,,
SEPA,2025,F1,TOMST TMS-4 Standard,,21/04/2025,,,,,,
SEPA,2025,G1,Song Meter Mini 2,2MA03095,23/04/2025,,,,,,
SEPA,2025,G1,Song Meter Mini Bat 2,2MU02091,23/04/2025,,,,,,
SEPA,2025,G2,Song Meter Mini 2,2MA03064,23/04/2025,,,,,,
SEPA,2025,G2,Song Meter Mini Bat 2,2MU02088,23/04/2025,,,,,,
SEPA,2025,G1,TOMST TMS-4 Standard,,23/04/2025,,,,,,
SEPA,2025,W1,Song Meter Mini 2,2MA03176,20/04/2025,,,,,,
SEPA,2025,W1,Song Meter Mini Bat 2,2MU02104,20/04/2025,,,,,,
SEPA,2025,W2,Song Meter Mini 2,2MA03094,20/04/2025,,,,,,
SEPA,2025,W2,Song Meter Mini Bat 2,2MU02076,20/04/2025,,,,,,
SEPA,2025,W1,TOMST TMS-4 Standard,,20/04/2025,,,,,,
SEPA,2025,F1,AMI,RW-AMI-0011,21/04/2025,,55.694055,13.459110,,,
SEPA,2025,G1,AMI,RW-AMI-0007,23/04/2025,,55.547620,14.033792,,,
SEPA,2025,W1,AMI,RW-AMI-0010,20/04/2025,,55.693899,13.522747,,,
VL O INBO,2024,F1,AMI,RW-AMI-0045,24/07/2024,07/11/2024,50.97543,3.803983,,,
VL O INBO,2024,W1,AMI,RW-AMI-0042,24/07/2024,07/11/2024,51.15417,3.269258,,,
VL O INBO,2024,G1,AMI,RW-AMI-0044,24/07/2024,07/11/2024,51.02484,3.914694,,,
VL O INBO,2024,F1,Song Meter Mini 2,2MA02570,26/06/2024,07/11/2024,,,BIOVG01,,
VL O INBO,2024,F1,Song Meter Mini Bat 2,2MU02597,26/06/2024,07/11/2024,,,BIOBD01,,
VL O INBO,2024,F2,Song Meter Mini 2,2MA02676,26/06/2024,07/11/2024,,,BIOVG03,,
VL O INBO,2024,F2,Song Meter Mini Bat 2,2MU02523,26/06/2024,07/11/2024,,,BIOBD02,,
VL O INBO,2024,G1,Song Meter Mini 2,2MA04299,09/07/2024,07/11/2024,,,BIOVG04,,
VL O INBO,2024,G1,Song Meter Mini Bat 2,2MU02529,09/07/2024,07/11/2024,,,BIOBD05,,
VL O INBO,2024,G2,Song Meter Mini 2,2MU02459,09/07/2024,07/11/2024,,,BIOVG06,,
