partner,country
belgium,Flanders
croatia,Croatia
denmark,Denmark
finland,Finland
italy,Bolzano
slovakia,Slovakia
spain,Catalonia
sweden,Sweden
the_netherlands,Netherlands
ireland,Ireland
bulgaria,Bulgaria
czech_republic,Czechia
